Dark Souls II: Scholar of the First Sin,Souls-like,From Software,2015,FALSE,Steam Playstation and Xbox
Across the Obelisk,Deck Builder,Dreamsite Games,2021,TRUE,Steam Playstation and Xbox
Elden Ring,Souls-like,From Software,2022,TRUE,Steam Playstation and Xbox
Lies of P,Souls-like,NEOWIZ,2023,TRUE,Steam Playstation and Xbox
Remnant From the Ashes,Souls-like,Gunfire Games,2019,FALSE,Steam Playstation and Xbox
Slay the Spire,Deck Builder,Mega Crit,2019,FALSE,Steam Playstation and Xbox
Warhammer 40000: Chaos Gate - Daemonhunters,Turn-Based Strategy,Complex Games,2022,FALSE,Steam exclusive
XCOM 2,Turn-Based Strategy,Firaxis Games,2016,FALSE,Steam Playstation and Xbox
Hot Dogs Horshoes & Hand Greandes,Sandbox,RUST LTD.,2016,TRUE,Steam exclusive
